system:index,blue,cfmask,green,latitude,longitude,nbr,ndvi,nir,red,swir1,swir2,.geo,Y_Lat,X_Long,OBJECTID
1_2_LE71260522005027_0_3,1706,4,1610,11.59833286,104.9175363,0.36700076,0.076176025,1773,1522,1203,821,NA,11.59833286,104.9175363,1
1_1_LT51260522005067_0_0,724,0,906,11.64526631,104.9078894,0.5123774,0.5907639,3238,833,2100,1044,NA,11.64526631,104.9078894,5
1_1_LT51260522005067_0_1,1036,0,1339,11.59833286,104.9175363,0.09751244,0.18411165,2206,1520,2071,1814,NA,11.59833286,104.9175363,1
1_1_LT51260522005067_0_2,834,0,1067,11.54489019,104.9390123,0.49116609,0.5561189,3376,963,2195,1152,NA,11.54489019,104.9390123,2
1_1_LT51260522005067_0_3,733,0,989,11.51802754,104.9263632,0.6708701,0.67368424,3975,775,1849,783,NA,11.51802754,104.9263632,3
1_1_LT51260522005067_0_4,797,0,1068,11.5031066,104.9310436,0.44931445,0.51717645,3224,1026,2269,1225,NA,11.5031066,104.9310436,4
1_2_LE71260522005075_0_0,819,2,979,11.64526631,104.9078894,0.526017,0.5622276,3226,904,2066,1002,NA,11.64526631,104.9078894,5
1_2_LE71260522005075_0_1,821,2,1046,11.51802754,104.9263632,0.66719747,0.5895749,3141,811,1315,627,NA,11.51802754,104.9263632,3
1_2_LE71260522005075_0_2,903,0,1045,11.5031066,104.9310436,0.40143448,0.50023264,3224,1074,2533,1377,NA,11.5031066,104.9310436,4
1_2_LE71260522005075_0_3,1191,0,1478,11.59833286,104.9175363,0.015180266,0.12247574,2140,1673,2299,2076,NA,11.59833286,104.9175363,1
1_2_LE71260522005075_0_4,921,0,1132,11.54489019,104.9390123,0.4844639,0.5065512,3392,1111,2183,1178,NA,11.54489019,104.9390123,2
1_2_LE71260522005107_0_0,752,0,1013,11.54489019,104.9390123,0.41927248,0.53661907,3336,1006,2397,1365,NA,11.54489019,104.9390123,2
1_2_LE71260522005107_0_1,625,0,916,11.51802754,104.9263632,0.68710285,0.7752078,4912,622,2128,911,NA,11.51802754,104.9263632,3
1_2_LE71260522005107_0_2,725,0,959,11.5031066,104.9310436,0.38549134,0.54806787,3285,959,2547,1457,NA,11.5031066,104.9310436,4
1_1_LT51260522005115_0_0,734,0,948,11.64526631,104.9078894,0.52182347,0.55500495,3138,898,2094,986,NA,11.64526631,104.9078894,5
1_1_LT51260522005115_0_1,1279,4,1518,11.51802754,104.9263632,0.46078664,0.36846808,3064,1414,1851,1131,NA,11.51802754,104.9263632,3
1_1_LT51260522005115_0_2,910,0,1177,11.5031066,104.9310436,0.33416355,0.47566575,3214,1142,2703,1604,NA,11.5031066,104.9310436,4
1_1_LT51260522005115_0_3,1528,4,1782,11.59833286,104.9175363,0.27943853,0.15323336,2461,1807,1754,1386,NA,11.59833286,104.9175363,1
1_1_LT51260522005115_0_4,1182,2,1405,11.54489019,104.9390123,0.35820895,0.438881,3549,1384,2800,1677,NA,11.54489019,104.9390123,2
1_2_LE71260522005123_0_0,20000,4,4516,11.51802754,104.9263632,0.18912055,-0.56140214,5618,20000,4715,3831,NA,11.51802754,104.9263632,3
1_2_LE71260522005123_0_1,793,0,944,11.5031066,104.9310436,0.33980182,0.55003583,3245,942,2892,1599,NA,11.5031066,104.9310436,4
1_2_LE71260522005123_0_2,706,0,891,11.64526631,104.9078894,0.5480226,0.62722707,3562,816,2339,1040,NA,11.64526631,104.9078894,5
1_2_LE71260522005123_0_3,932,0,923,11.59833286,104.9175363,0.48197597,0.11278196,1110,885,613,388,NA,11.59833286,104.9175363,1
1_2_LE71260522005123_0_4,993,0,1252,11.54489019,104.9390123,0.37708208,0.49368742,3431,1163,2662,1552,NA,11.54489019,104.9390123,2
1_2_LE71260522005139_0_0,359,0,638,11.64526631,104.9078894,0.5284591,0.70521426,3303,571,2100,1019,NA,11.64526631,104.9078894,5
1_2_LE71260522005139_0_1,397,0,757,11.51802754,104.9263632,0.7222644,0.8248792,4533,435,1944,731,NA,11.51802754,104.9263632,3
1_2_LE71260522005139_0_2,531,0,771,11.5031066,104.9310436,0.29444188,0.5556169,2818,805,2624,1536,NA,11.5031066,104.9310436,4
